codigo;epp;salacom;los_andes;huechun;saladillo;planta_filtro;mina_sub;concentrador;sur;hombre;mujer;verano;invierno;mecanico;electrico;general;tipo;talla
4053046;CAMISA ANTIACIDA USO GRAL T-XS;no;no;no;no;si;si;si;si;si;si;si;si;si;no;si;CAMISA;XS
4125648;CAMISA ANTIACIDA USO GRAL T-XL;no;no;no;no;si;si;si;si;si;si;si;si;si;no;si;CAMISA;XL
4125647;CAMISA ANTIACIDA USO GRAL T-2XL;no;no;no;no;si;si;si;si;si;si;si;si;si;no;si;CAMISA;2XL
4053062;CAMISA ANTIACIDA USO GRAL T-3XL;no;no;no;no;si;si;si;si;si;si;si;si;si;no;si;CAMISA;C3XL
4169236;CAMISA ARCO ELECTRICO DAMA T-S  46;si;si;si;si;si;si;si;si;no;si;si;si;no;si;no;CAMISA_ELECTRICO;S-46
4125768;CAMISA PROTEC ARCO ELECT 44;si;si;si;si;si;si;si;si;no;si;si;si;no;si;no;CAMISA_ELECTRICO;44
4086173;CAMISA RET A LA LLAMA;si;si;si;si;si;si;si;si;si;no;si;si;no;si;no;CAMISA_ELECTRICO;44
4075658;CAMISA RET A LA LLAMA 46;si;si;si;si;si;si;si;si;si;no;si;si;no;si;no;CAMISA_ELECTRICO;46
4075659;CAMISA RET A LA LLAMA 48;si;si;si;si;si;si;si;si;si;no;si;si;no;si;no;CAMISA_ELECTRICO;48
4075660;CAMISA RET A LA LLAMA 50;si;si;si;si;si;si;si;si;si;no;si;si;no;si;no;CAMISA_ELECTRICO;50
4075662;CAMISA RET A LA LLAMA 52;si;si;si;si;si;si;si;si;si;no;si;si;no;si;no;CAMISA_ELECTRICO;52
4075663;CAMISA RET A LA LLAMA T-54;si;si;si;si;si;si;si;si;si;no;si;si;no;si;no;CAMISA_ELECTRICO;54
4183017;CAMISA TEC. ALTA CORD. DAMA T-S;no;si;si;si;si;si;si;si;no;si;si;si;si;si;si;CAMISA; T-S
4183018;CAMISA TEC. ALTA CORD. DAMA T-M;no;si;si;si;si;si;si;si;no;si;si;si;si;si;si;CAMISA;T-M
4183019;CAMISA TEC. ALTA CORD. DAMA T-L;no;si;si;si;si;si;si;si;no;si;si;si;si;si;si;CAMISA;T-L
4183016;CAMISA TEC. ALTA CORD. DAMA T-XS;no;si;si;si;si;si;si;si;no;si;si;si;si;si;si;CAMISA;T-XS
4183020;CAMISA TEC. ALTA CORD. DAMA T-XL;no;si;si;si;si;si;si;si;no;si;si;si;si;si;si;CAMISA;T-XL
4111751;CAMISETA 1RA CAPA S;no;si;no;no;no;si;si;si;no;no;si;no;no;si;no;CAMISA_PC_ELECT;S
4111661;CAMISETA 1RA CAPA M;no;si;no;no;no;si;si;si;no;no;si;no;no;si;no;CAMISA_PC_ELECT;M
4111662;CAMISETA 1RA CAPA L;no;si;no;no;no;si;si;si;no;no;si;no;no;si;no;CAMISA_PC_ELECT;L
4111752;CAMISETA 1RA CAPA XL;no;si;no;no;no;si;si;si;no;no;si;no;no;si;no;CAMISA_PC_ELECT;XL
4111656;PANTALON 1RA CAPA S;si;no;si;si;si;si;si;si;si;no;no;si;si;no;si;PANTALON_PC;S
4111649;PANTALON 1RA CAPA M;si;no;si;si;si;si;si;si;si;no;no;si;si;no;si;PANTALON_PC;M
4111650;PANTALON 1RA CAPA L;si;no;si;si;si;si;si;si;si;no;no;si;si;no;si;PANTALON_PC;L
4111750;PANTALON 1RA CAPA XL;si;no;si;si;si;si;si;si;si;no;no;si;si;no;si;PANTALON_PC;XL
4177581;PANTALON ALTA CORD. DAMA T-S;no;si;si;si;si;si;si;si;no;si;si;si;si;no;si;PANTALON;S
4177582;PANTALON ALTA CORD. DAMA T-M;no;si;si;si;si;si;si;si;no;si;si;si;si;no;si;PANTALON;M
4177583;PANTALON ALTA CORD. DAMA T-L;no;si;si;si;si;si;si;si;no;si;si;si;si;no;si;PANTALON;L
4177584;PANTALON ALTA CORD. DAMA T-XL;no;si;si;si;si;si;si;si;no;si;si;si;si;no;si;PANTALON;XL
4183031;PANTALON ALTA CORDILLERA VARON 2XL;si;si;si;si;no;si;si;si;si;no;si;si;si;no;si;PANTALON;2XL
4183027;PANTALON ALTA CORDILLERA VARON S;si;si;si;si;no;si;si;si;si;no;si;si;si;no;si;PANTALON; S
4183028;PANTALON ALTA CORDILLERA VARON M;si;si;si;si;no;si;si;si;si;no;si;si;si;no;si;PANTALON; M
4183029;PANTALON ALTA CORDILLERA VARON L;si;si;si;si;no;si;si;si;si;no;si;si;si;no;si;PANTALON; L
4183030;PANTALON ALTA CORDILLERA VARON XL;si;si;si;si;no;si;si;si;si;no;si;si;si;no;si;PANTALON; XL
4183031;PANTALON ALTA CORDILLERA VARON 2XL;si;si;si;si;no;si;si;si;si;no;si;si;si;no;si;PANTALON; 2XL
4154607;PANTALON ANTIACIDO USO GRAL VARON T-44;no;no;no;no;si;si;si;si;si;no;si;si;si;no;si;PANTALON;44
4053039;PANTALON ANTIACIDO USO GRAL VARON T-46;no;no;no;no;si;si;si;si;si;no;si;si;si;no;si;PANTALON;46
4053040;PANTALON ANTIACIDO USO GRAL VARON T-48;no;no;no;no;si;si;si;si;si;no;si;si;si;no;si;PANTALON;48
4053041;PANTALON ANTIACIDO USO GRAL VARON T-50;no;no;no;no;si;si;si;si;si;no;si;si;si;no;si;PANTALON;50
4053042;PANTALON ANTIACIDO USO GRAL VARON T-52;no;no;no;no;si;si;si;si;si;no;si;si;si;no;si;PANTALON;52
4053043;PANTALON ANTIACIDO USO GRAL VARON T-54;no;no;no;no;si;si;si;si;si;no;si;si;si;no;si;PANTALON;54
4053044;PANTALON ANTIACIDO USO GRAL VARON T-56;no;no;no;no;si;si;si;si;si;no;si;si;si;no;si;PANTALON;56
4163670;PANTALON IGNIFUGO AZUL MUJER T-42 S;no;no;no;no;no;si;si;si;no;si;si;no;no;si;no;PANTALON;42-S
4152515;PANTALON RET A LA LLAMA 46;si;si;si;si;si;si;si;si;si;no;si;si;no;si;no;PANTALON;46
4152516;PANTALON RET A LA LLAMA 48;si;si;si;si;si;si;si;si;si;no;si;si;no;si;no;PANTALON;48
4152517;PANTALON RET A LA LLAMA 50;si;si;si;si;si;si;si;si;si;no;si;si;no;si;no;PANTALON;50
4163280;PANTALON RET A LA LLAMA T-54;si;si;si;si;si;si;si;si;si;no;si;si;no;si;no;PANTALON;54
4180262;PARKA INSTITUCIONAL DAMA T-S;si;si;si;si;si;si;si;si;no;si;no;si;si;si;si;PARKA;S
4180263;PARKA INSTITUCIONAL DAMA T-M;si;si;si;si;si;si;si;si;no;si;no;si;si;si;si;PARKA;M
4180264;PARKA INSTITUCIONAL DAMA T-L;si;si;si;si;si;si;si;si;no;si;no;si;si;si;si;PARKA;L
4180261;PARKA INSTITUCIONAL DAMA T-XS;si;si;si;si;si;si;si;si;no;si;no;si;si;si;si;PARKA;XS
4180265;PARKA INSTITUCIONAL DAMA T-XL;si;si;si;si;si;si;si;si;no;si;no;si;si;si;si;PARKA;XL
4180266;PARKA INSTITUCIONAL DAMA T-XXL;si;si;si;si;si;si;si;si;no;si;no;si;si;si;si;PARKA;XXL
4180267;PARKA INSTITUCIONAL CORP VARON T-S;si;si;si;si;si;si;si;si;si;no;no;si;si;si;si;PARKA;S
4180268;PARKA INSTITUCIONAL CORP VARON T-M;si;si;si;si;si;si;si;si;si;no;no;si;si;si;si;PARKA;M
4180269;PARKA INSTITUCIONAL CORP VARON T-L;si;si;si;si;si;si;si;si;si;no;no;si;si;si;si;PARKA;L
4180270;PARKA INSTITUCIONAL CORP VARON T-XL;si;si;si;si;si;si;si;si;si;no;no;si;si;si;si;PARKA;XL
4180271;PARKA INSTITUCIONAL CORP VARON T-XXL;si;si;si;si;si;si;si;si;si;no;no;si;si;si;si;PARKA;XXL
4154064;BUZO USO GENERAL VARON T-S;no;no;si;si;si;si;si;si;si;no;si;si;si;si;si;BUZO;S
